t,x,y,vx,vy,Ï‰
3.03333,0.0107889,0.129101,,,
3.066664,0.01079041,0.1265421,0.0008322173,-0.07783204,-3.36772
3.099997,0.01084438,0.1239122,0.001390073,-0.07958802,-3.834874
3.13333,0.01088308,0.1212362,0.001646898,-0.07900644,-4.101216
3.166664,0.01095417,0.1186451,0.001318834,-0.07951787,-4.144244
3.199997,0.010971,0.115935,0.0003430516,-0.08082763,-3.91377
3.23333,0.01097704,0.1132566,0.0008933707,-0.08010926,-4.349132
3.266663,0.01103056,0.1105944,0.001600083,-0.0798027,-4.906246
3.299997,0.01108371,0.1079365,0.0009501595,-0.08039099,-4.831964
3.33333,0.01109391,0.105235,0.00106109,-0.08153949,-5.215171
3.366663,0.01115445,0.1025005,0.001412681,-0.08265085,-5.749545
3.399997,0.01118808,0.09972497,0.001500393,-0.08238562,-6.104273
3.43333,0.01125448,0.09700814,0.0008468746,-0.08267755,-6.074516
3.466663,0.01124454,0.09421313,-2.116382e-05,-0.08350372,-5.971591
3.499997,0.01125307,0.09144123,0.0008119398,-0.08332462,-6.847411
3.53333,0.01129867,0.08865817,0.00170865,-0.08420756,-7.929119
3.566663,0.01136698,0.0858274,0.0009714518,-0.08510359,-8.018828
3.599996,0.01136344,0.0829846,0.0008986314,-0.0849198,-8.519372
3.63333,0.01142689,0.08016609,0.001303515,-0.08504017,-9.404546
3.666663,0.01145034,0.07731526,0.001224318,-0.08547581,-10.0934
3.699996,0.01150851,0.0744677,0.0006450576,-0.08565471,-10.41839
3.73333,0.01149334,0.07160495,-0.0001228467,-0.08668127,-10.7918
3.766663,0.01150032,0.06868896,0.0008125909,-0.08788565,-12.64424
3.799996,0.01154751,0.06574591,0.001216729,-0.08663752,-13.889
3.83333,0.01158143,0.06291313,0.0009544144,-0.08635359,-14.88992
3.866663,0.01161114,0.05998901,0.001159873,-0.08864954,-16.92908
3.899996,0.01165876,0.05700317,0.001709772,-0.08893999,-19.24604
3.933329,0.01172513,0.05405969,0.001139808,-0.0887203,-20.65435
3.966663,0.01173474,0.05108849,-1.455475e-05,-0.08883793,-21.76241
3.999996,0.01172415,0.04813716,0.0002579818,-0.09026123,-25.16876
4.033329,0.01175194,0.04507108,0.001582085,-0.0915182,-30.43811
4.066663,0.01182963,0.04203596,0.0008021103,-0.09074958,-33.27859
4.099996,0.01180542,0.03902111,-0.0002564035,-0.09177024,-37.30913
4.133329,0.01181253,0.03591795,0.001421791,-0.09178257,-45.77379
4.166663,0.0119002,0.03290228,0.001520544,-0.09155469,-53.65589
4.199996,0.0119139,0.02981431,0.000229969,-0.0921149,-61.75407
4.233329,0.01191553,0.02676129,-5.124485e-06,-0.09195539,-73.82407
4.266662,0.01191356,0.02368395,0.00128268,-0.09214321,-93.00913
4.299996,0.01200105,0.02061842,0.001540129,-0.09256499,-116.2789
4.333329,0.01201624,0.01751296,-3.408094e-05,-0.092336,-142.179
4.366662,0.01199877,0.01446269,-0.0002114065,-0.09186721,-180.7124
4.399996,0.01200214,0.01138849,0.0008430397,-0.08891675,-225.3183
4.433329,0.01205498,0.008534914,0.003744833,-0.01722267,-54.11401
4.466662,0.0122518,0.01024031,0.02489586,0.05849627,103.4864
4.499996,0.0137147,0.01243466,0.04388708,0.07131651,71.44769
4.533329,0.0151776,0.01499474,0.03291531,0.07680239,84.27021
4.566662,0.01590905,0.01755482,0.0384012,0.06583062,43.28686
4.599995,0.01773768,0.01938344,0.02194354,0.05485885,43.02229
4.633329,0.01737195,0.02121207,0.01645766,0.05485885,47.95234
4.666662,0.01883485,0.0230407,0.02194354,0.07680239,56.11499
4.699995,0.01883485,0.02633222,0.01097177,0.07131651,61.81666
4.733329,0.0195663,0.02779512,0.0384012,0.04937297,-3.935326
4.766662,0.02139493,0.02962375,0.0384012,0.07131651,14.0495
4.799995,0.02212638,0.03254955,0.02194354,0.06583062,29.02285
4.833329,0.02285783,0.03401245,0.02742943,0.07680239,26.3056
4.866662,0.02395501,0.03766971,0.02194354,0.08228828,34.20751
4.899995,0.02432073,0.03949833,0.02742943,0.04937297,3.96364
4.933328,0.02578363,0.04096124,0.02194354,0.0384012,1.682879
4.966662,0.02578363,0.04205841,0.02194354,0.09326005,32.72528
4.999995,0.02724654,0.04717857,0.02742943,0.1042318,31.67657
5.033328,0.02761226,0.04900719,0.01645766,0.04937297,10.3343
5.066662,0.02834371,0.05047009,0.03291531,0.04388708,-6.825868
5.099995,0.02980661,0.051933,0.02194354,0.04937297,4.700614
5.133328,0.02980661,0.05376162,0.02742943,0.07680239,12.68385
5.166662,0.03163524,0.05705315,0.04388708,0.07680239,-0.9715467
5.199995,0.03273242,0.05888178,0.01645766,0.04937297,7.969945
5.233328,0.03273242,0.06034468,0.01645766,0.06583062,14.0564
5.266661,0.03382959,0.06327048,0.02742943,0.05485885,1.611469
5.299995,0.03456104,0.06400193,0.02194354,0.0384012,-0.9545429
5.333328,0.03529249,0.06583056,0.01645766,0.06034474,10.58713
5.366661,0.03565822,0.06802491,0.02194354,0.07131651,10.33675
5.399995,0.03675539,0.07058499,0.02194354,0.05485885,4.283038
5.433328,0.03712112,0.07168216,0.02194354,0.03291531,-2.969671
5.466661,0.0382183,0.07277934,0.0384012,0.06583062,-2.556027
5.499995,0.0396812,0.07607087,0.0384012,0.06583062,-2.227067
5.533328,0.04077837,0.07716804,0.03291531,0.04388708,-5.694409
5.566661,0.04187555,0.07899667,0.01645766,0.06583062,10.12835
5.599994,0.04187555,0.08155675,0.0,0.08777416,24.89708
5.633328,0.04187555,0.08484827,0.01097177,0.08777416,17.87329
5.666661,0.042607,0.08740835,0.01645766,0.04937297,4.144403
5.699994,0.04297272,0.0881398,0.01645766,0.0384012,1.164184
5.733328,0.04370418,0.08996843,0.03291531,0.05485885,-3.105328
5.766661,0.04516708,0.09179705,0.0384012,0.04388708,-8.483266
5.799994,0.04626425,0.09289423,0.02742943,0.06583062,2.382575
5.833328,0.0469957,0.09618576,0.02742943,0.07131651,3.811093
5.866661,0.04809288,0.09764866,0.0384012,0.06034474,-4.106308
5.899994,0.04955578,0.1002087,0.02194354,0.04937297,1.084742
5.933327,0.04955578,0.1009402,0.02742943,0.05485885,-0.1331034
5.966661,0.05138441,0.103866,0.0384012,0.06583062,-2.6619
5.999994,0.05211586,0.1053289,0.01097177,0.05485885,6.948925
6.033327,0.05211586,0.1075232,0.005485885,0.04937297,8.064232
6.066661,0.05248158,0.1086204,0.02742943,0.04937297,-1.463608
6.099994,0.05394448,0.1108148,0.02194354,0.05485885,1.889539
6.133327,0.05394448,0.1122777,0.02742943,0.04388708,-2.466537
6.166661,0.05577311,0.1137406,0.03291531,0.05485885,-2.629309
6.199994,0.05613884,0.1159349,0.01645766,0.05485885,4.118209
6.233327,0.05687029,0.1173978,0.01645766,0.06034474,4.951831
6.26666,0.05723601,0.1199579,0.02742943,0.04937297,-1.349357
6.299994,0.05869891,0.1206894,0.02742943,0.0384012,-3.46241
6.333327,0.05906464,0.122518,0.03291531,0.06583062,-0.3324871
6.36666,0.06089327,0.1250781,0.0384012,0.05485885,-4.393822
6.399994,0.06162472,0.1261752,0.02194354,0.05485885,1.715727
6.433327,0.06235617,0.1287353,0.02194354,0.06034474,2.679257
6.46666,0.06308762,0.1301982,0.01645766,0.04388708,1.69356
6.499994,0.06345334,0.1316611,0.01645766,0.04388708,1.677392
6.533327,0.06418479,0.133124,0.02742943,0.06034474,0.5667605
6.56666,0.06528197,0.1356841,0.03291531,0.06034474,-1.294108
6.599993,0.06637915,0.137147,0.03291531,0.04937297,-3.061407
6.633327,0.06747632,0.1389756,0.02742943,0.04388708,-2.048412
6.66666,0.06820777,0.1400728,0.02194354,0.05485885,1.526503
6.699993,0.06893922,0.1426329,0.01097177,0.04937297,4.23242
6.733327,0.06893922,0.1433643,0.02194354,0.04937297,0.6113366
6.76666,0.07040212,0.1459244,0.02742943,0.05485885,-0.3321562
6.799993,0.07076785,0.1470216,,,
