t,y,vx,vy
0.0205614709371293,0.07682698,-0.03279575166,-1.9865800799999997
0.020956880189798337,0.07603468,-0.03263071755,-1.9981283369999998
0.02135228944246738,0.07524681,-0.02996682069,-1.986505896
0.02174771055753262,0.0744637,-0.02086556508,-1.979004882
0.022143119810201662,0.07368176,-0.029284960139999996,-1.978139121
0.0225385290628707,0.07289933,-0.02721489777,-1.991285706
0.022933938315539738,0.072107,-0.004058928666,-1.984594815
0.023329359430604983,0.07132987,-0.01860721023,-1.835785083
0.02372476868327402,0.07065522,-0.07614082218,-1.886440953
0.02412017793594306,0.06983802,-0.08108670318,-2.038157349
0.024515599051008304,0.06904339,-0.05540091468,-2.015236179
0.024911008303677342,0.06824432,-0.04897416087,-2.019892911
0.025306417556346383,0.06744601,3.436996986e-06,-2.039111625
0.02570182680901542,0.06663174,-0.007316362436999999,-2.063998671
0.026097247924080663,0.06581374,-0.045793951799999996,-2.0594726039999998
0.026492657176749704,0.06500305,-0.030919705739999997,-2.035282719
0.026888066429418742,0.06420419,-0.04157232582,-1.913861214
0.027283487544483984,0.06348952,-0.07461958653,-1.925728968
0.027678896797153022,0.06268128,-0.0919323534,-2.055193536
0.028074306049822067,0.06186422,-0.07498973097,-2.06544273
0.02846972716488731,0.06104787,-0.02106969753,-2.055282894
0.028865136417556347,0.06023885,-0.022426548180000002,-2.071146468
0.029260545670225388,0.05940995,-0.04745464494,-2.09912901
0.02965596678529063,0.05857881,-0.03518242797,-2.060201799
0.030051376037959668,0.05778069,-0.04228165131,-1.9143779730000001
0.030446785290628706,0.05706487,-0.07015904592,-1.92956799
0.030842194543297747,0.05625474,-0.05699987493,-2.093063625
0.03123761565836299,0.05540962,-0.060641027970000004,-2.134533324
0.03163302491103203,0.0545667,-0.07581095628,-2.109612558
0.03202843416370107,0.05374128,-0.0113482974,-2.080267728
0.03242385527876631,0.05292157,-0.003861888375,-2.0712923069999998
0.03281926453143535,0.05210325,-0.06942939570000001,-1.976425302
0.033214673784104386,0.05135856,-0.09846206279999999,-2.016450099
0.03361009489916963,0.05050859,-0.050247925439999994,-2.131099785
0.03400550415183867,0.04967323,-0.05596604502,-2.148480759
0.03440091340450771,0.04880952,-0.07896967728,-2.1417266429999997
0.034796322657176755,0.0479795,-0.0194883054,-2.1048066149999998
0.035191743772242,0.04714498,-0.02181622461,-2.1181428749999998
0.035587153024911035,0.04630442,-0.01968765804,-2.1234638909999997
0.03598256227758007,0.0454657,-0.0866446359,-2.029515756
0.036377983392645315,0.04469943,-0.1007229888,-2.022246567
0.03677339264531435,0.04386645,-0.052393604909999995,-2.132386203
0.03716880189798339,0.04301308,-0.043455882870000004,-2.142184392
0.03756422301304863,0.04217236,-0.041075411039999996,-2.14808202
0.03795963226571768,0.04131432,-0.03826632429,-2.162300058
0.038355041518386715,0.04046235,-0.04170670845,-2.175965088
0.03875045077105575,0.03959351,-0.023379837869999996,-2.163039369
0.039145871886120995,0.03875177,-0.015716209170000002,-2.042811552
0.03954128113879004,0.03797801,-0.10924091369999998,-2.08663575
0.03993669039145908,0.0371016,-0.0754903971,-2.1739739219999996
0.04033211150652432,0.03625877,-0.050712949529999996,-2.1621988979999998
0.04072752075919336,0.03539168,-0.05186171406,-2.181761556
0.041122930011862395,0.03453338,-0.05008944144,-2.197512168
0.04151835112692764,0.03365383,-0.01110381054,-2.009626857
0.041913760379596675,0.03294411,0.0929890539,-1.317093084
0.04230916963226572,0.03261224,0.2717094375,-0.30723834689999996
0.04270457888493476,0.03270114,0.5906111109,0.6327780552
0.0431,0.03311266,0.859873488,1.321034952
0.04349540925266904,0.03374585,0.997145922,1.435908876
0.04389081850533808,0.03424821,0.9628779719999999,1.312747419
0.044286239620403324,0.03478401,0.9434527229999999,1.3224309599999997
0.04468164887307236,0.03529402,0.9893051789999999,1.3984206659999998
0.0450770581257414,0.03588991,0.9580728719999999,1.3671849870000001
0.04547247924080664,0.03637523,0.971725257,1.366063797
0.04586788849347568,0.03697023,0.9935395679999999,1.38406269
0.04626329774614472,0.03746978,0.966559353,1.352069997
0.04665870699881376,0.03803948,0.982366446,1.368986478
0.047054128113879004,0.03855241,0.9978506699999999,1.347707472
0.04744953736654804,0.03910528,0.9768439529999999,1.3560245100000001
0.04784494661921709,0.03962479,0.9973979789999999,1.3562015399999998
0.04824036773428233,0.0401778,0.9789126749999999,1.327756191
0.048635776986951366,0.04067481,0.987040038,1.311326121
0.049031186239620404,0.04121483,1.0085146200000001,1.3207500179999998
0.049426607354685646,0.0417193,0.9788368049999999,1.289687154
0.049822016607354684,0.04223475,0.977868198,1.30126323
0.05021742586002373,0.04274837,0.9846206279999999,1.316396766
0.05061283511269277,0.04327579,0.984555717,1.296845067
0.05100825622775801,0.04377395,0.9929157479999999,1.285021992
0.051403665480427047,0.04429202,0.9861995669999999,1.295999538
0.051799074733096084,0.04479886,0.9844284239999999,1.2583722329999998
0.052194495848161326,0.04528717,0.988003587,1.282318491
0.052589905100830364,0.04581295,0.982787946,1.2864921839999999
0.05298531435349941,0.04630456,0.98129415,1.28149488
0.05338073546856465,0.04682638,0.9803381879999999,1.264613805
0.05377614472123369,0.04730465,0.987464067,1.250883864
0.05417155397390273,0.04781562,0.9813228119999999,1.244131434
0.054566963226571764,0.04828854,0.9683650589999999,1.276254792
0.054962384341637006,0.04882491,0.9653909549999999,1.259229564
0.055357793594306044,0.04928438,0.9675835979999999,1.237479321
0.055753202846975096,0.04980354,0.9744355020000001,1.2174606
0.05614862396204034,0.05024717,0.975826452,1.214267316
0.056544033214709376,0.05076381,0.979120896,1.199026719
0.056939442467378414,0.0511954,1.006385202,1.200823152
0.057334863582443656,0.05171346,1.001562399,1.233329232
0.05773027283511269,0.05217074,0.967885392,1.2692427179999999
0.058125682087781724,0.05271721,0.968512584,1.23931116
0.058521091340450776,0.05315082,0.972537909,1.220209623
0.05891651245551602,0.05368218,0.970110912,1.1962642079999999
0.059311921708185056,0.05409686,0.9685117409999999,1.202262153
0.059707330960854094,0.05463296,0.979630911,1.1926232909999999
0.060102752075919336,0.05504002,0.986059629,1.185311952
0.060498161328588373,0.05557033,0.986111052,1.169416344
0.06089357058125741,0.05596482,0.9744574199999999,1.1799057929999999
0.06128899169632265,0.05650343,0.9693800309999999,1.184951991
0.0616844009489917,0.05690191,0.982598271,1.173031128
0.062079810201660736,0.0574311,0.9874590089999999,1.170234054
0.062475219454329774,0.05782736,0.9839605589999999,1.166900832
0.06287064056939502,0.05835391,0.9839571869999999,1.157002326
0.06326604982206406,0.05874235,0.985501563,1.163662869
0.0636614590747331,0.05927417,0.9772528079999999,1.172362629
0.06405688018979834,0.05966948,0.894616047,1.03723563
0.06445228944246738,0.06009444,0.961882389,1.154248245
0.06484769869513642,0.06058229,0.986110209,1.1440698630000001
0.06524311981020166,0.0609992,0.9015126299999999,1.158724575
0.0656385290628707,0.06149864,0.972373524,1.126147683
0.06603393831553973,0.06188978,0.976223505,1.1239491389999998
0.06642934756820877,0.06238749,0.977504022,1.1254935149999998
0.06682476868327401,0.06277985,0.882913521,1.0172177519999999
0.06722017793594307,0.06319193,0.8835432419999999,1.129639389
0.0676155871886121,0.0636732,0.990834381,1.09026033
0.06801100830367734,0.06405414,0.968975391,1.006487205
0.06840641755634638,0.06446916,0.938660268,1.163413341
0.06880182680901542,0.06497419,0.869913618,1.153675005
0.06919724792408066,0.06538151,0.8854147019999999,1.004956317
0.0695926571767497,0.06576894,0.953803077,1.105407354
0.06998806642941875,0.0662557,0.9588956399999999,1.1249084729999999
0.07038347568208779,0.06665855,0.867732777,1.045905885
0.07077889679715303,0.06708283,0.8595329159999999,1.116127785
0.07117430604982207,0.06754121,0.9729037709999999,1.079464872
0.07156971530249111,0.06793649,0.863174676,1.016692563
0.07196513641755635,0.06834523,0.8628829979999999,1.000304643
0.07236054567022539,0.06872756,0.974121906,1.067952864
0.07275595492289443,0.0691898,0.934670349,1.1201033729999998
0.07315137603795967,0.06961337,0.8623679249999999,1.053437247
0.0735467852906287,0.07002288,0.8888853329999999,1.083918441
0.07394219454329774,0.07047056,0.961506411,1.076214264
